ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   COORD-COOR1,   COORD-COOR2,   COORD-COOR3,          U-U1,       S-Mises
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1809,   7.07107E-03,   7.07107E-03,   137.500E-03,NA,NA,"",  10.00000E-03,            0.,   137.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2007,   5.87785E-03,   8.09017E-03,   150.000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   150.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1973,   7.07107E-03,   7.07107E-03,   150.000E-03,NA,NA,"",  10.00000E-03,            0.,   150.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2171,   5.87785E-03,   8.09017E-03,   162.500E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   162.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2137,   7.07107E-03,   7.07107E-03,   162.500E-03,NA,NA,"",  10.00000E-03,            0.,   162.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2335,   5.87785E-03,   8.09017E-03,   175.000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   175.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2301,   7.07107E-03,   7.07107E-03,   175.000E-03,NA,NA,"",  10.00000E-03,            0.,   175.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2465,   7.07107E-03,   7.07107E-03,     187.5E-03,NA,NA,"",  10.00000E-03,            0.,     187.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2499,   5.87785E-03,   8.09017E-03,     187.5E-03,NA,NA,"",  10.00000E-03,   867.362E-21,     187.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2663,   5.87785E-03,   8.09017E-03,   200.000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   200.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2629,   7.07107E-03,   7.07107E-03,   200.000E-03,NA,NA,"",  10.00000E-03,            0.,   200.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2827,   5.87785E-03,   8.09017E-03,   212.500E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   212.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2793,   7.07107E-03,   7.07107E-03,   212.500E-03,NA,NA,"",  10.00000E-03,            0.,   212.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2991,   5.87785E-03,   8.09017E-03,   225.000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   225.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2957,   7.07107E-03,   7.07107E-03,   225.000E-03,NA,NA,"",  10.00000E-03,            0.,   225.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3155,   5.87785E-03,   8.09017E-03,   237.500E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   237.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3121,   7.07107E-03,   7.07107E-03,   237.500E-03,NA,NA,"",  10.00000E-03,            0.,   237.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3285,   7.07107E-03,   7.07107E-03,      250.E-03,NA,NA,"",  10.00000E-03,            0.,      250.E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3319,   5.87785E-03,   8.09017E-03,      250.E-03,NA,NA,"",  10.00000E-03,   867.362E-21,      250.E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3483,   5.87785E-03,   8.09017E-03,   262.500E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   262.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3449,   7.07107E-03,   7.07107E-03,   262.500E-03,NA,NA,"",  10.00000E-03,            0.,   262.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3647,   5.87785E-03,   8.09017E-03,   275.000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   275.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3613,   7.07107E-03,   7.07107E-03,   275.000E-03,NA,NA,"",  10.00000E-03,            0.,   275.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3811,   5.87785E-03,   8.09017E-03,   287.500E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   287.500E-03,            0.,            0.
