ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   COORD-COOR1,   COORD-COOR2,   COORD-COOR3,          U-U1,       S-Mises
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1807,  -3.50742E-03,  -3.56342E-03,   137.500E-03,NA,NA,"",   5.00000E-03,            0.,   137.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2030,  -2.92791E-03,  -4.05307E-03,   150.000E-03,NA,NA,"",   5.00000E-03,            0.,   150.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1971,  -3.50742E-03,  -3.56342E-03,   150.000E-03,NA,NA,"",   5.00000E-03,            0.,   150.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2194,  -2.92791E-03,  -4.05307E-03,   162.500E-03,NA,NA,"",   5.00000E-03,            0.,   162.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2135,  -3.50742E-03,  -3.56342E-03,   162.500E-03,NA,NA,"",   5.00000E-03,            0.,   162.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2358,  -2.92791E-03,  -4.05307E-03,   175.000E-03,NA,NA,"",   5.00000E-03,            0.,   175.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2299,  -3.50742E-03,  -3.56342E-03,   175.000E-03,NA,NA,"",   5.00000E-03,            0.,   175.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2463,  -3.50742E-03,  -3.56342E-03,     187.5E-03,NA,NA,"",   5.00000E-03,            0.,     187.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2522,  -2.92791E-03,  -4.05307E-03,     187.5E-03,NA,NA,"",   5.00000E-03,            0.,     187.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2686,  -2.92791E-03,  -4.05307E-03,   200.000E-03,NA,NA,"",   5.00000E-03,            0.,   200.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2627,  -3.50742E-03,  -3.56342E-03,   200.000E-03,NA,NA,"",   5.00000E-03,            0.,   200.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2850,  -2.92791E-03,  -4.05307E-03,   212.500E-03,NA,NA,"",   5.00000E-03,            0.,   212.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2791,  -3.50742E-03,  -3.56342E-03,   212.500E-03,NA,NA,"",   5.00000E-03,            0.,   212.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3014,  -2.92791E-03,  -4.05307E-03,   225.000E-03,NA,NA,"",   5.00000E-03,            0.,   225.000E-03,            0.,            0.
