 Increment           1
  4.9912883E-03 -0.4484341      0.6776416       6645.000    
  4.9912883E-03 -0.4484341      0.6848584       6645.000    
  4.9912883E-03 -0.4484341      0.6901416       6768.000    
  4.9912883E-03 -0.4484341      0.6973584       6768.000    
  4.9912883E-03 -0.4484341      0.7026415       6891.000    
  4.9912883E-03 -0.4484341      0.7098584       6891.000    
  4.9912883E-03 -0.4484341      0.7151415       7014.000    
  4.9912883E-03 -0.4484341      0.7223585       7014.000    
  4.9912883E-03 -0.4484341      0.7276416       7137.000    
  4.9912883E-03 -0.4484341      0.7348585       7137.000    
  4.9912883E-03 -0.4484341      0.7401416       7260.000    
  4.9912883E-03 -0.4484341      0.7473584       7260.000    
  4.9912883E-03 -0.4484341      0.7526416       7383.000    
  4.9912883E-03 -0.4484341      0.7598584       7383.000    
  4.9912883E-03 -0.4484341      0.7651415       7506.000    
  4.9912883E-03 -0.4484341      0.7723584       7506.000    
  4.9912883E-03 -0.4484341      0.7776415       7629.000    
  4.9912883E-03 -0.4484341      0.7848585       7629.000    
  4.9912883E-03 -0.4484341      0.7901416       7752.000    
  4.9912883E-03 -0.4484341      0.7973585       7752.000    
  4.9912883E-03 -0.4484341      0.8026416       7875.000    
  4.9912883E-03 -0.4484341      0.8098584       7875.000    
  4.9912883E-03 -0.4484341      0.8151416       7998.000    
  4.9912883E-03 -0.4484341      0.8223584       7998.000    
  4.9912883E-03 -0.4484341      0.8276415       8121.000    
  4.9912883E-03 -0.4484341      0.8348584       8121.000    
  4.9912883E-03 -0.4484341      0.8401415       8244.000    
  4.9912883E-03 -0.4484341      0.8473585       8244.000    
  4.9912883E-03 -0.4484341      0.8526416       8367.000    
  4.9912883E-03 -0.4484341      0.8598585       8367.000    
  4.9912883E-03 -0.4484341      0.8651416       8490.000    
  4.9912883E-03 -0.4484341      0.8723584       8490.000    
  4.9912883E-03 -0.4484341      0.8776416       8613.000    
  4.9912883E-03 -0.4484341      0.8848584       8613.000    
  4.9912883E-03 -0.4484341      0.8901415       8736.000    
  4.9912883E-03 -0.4484341      0.8973584       8736.000    
  4.9912883E-03 -0.4484341      0.9026415       8859.000    
  4.9912883E-03 -0.4484341      0.9098585       8859.000    
  4.9912883E-03 -0.4484341      0.9151416       8982.000    
  4.9912883E-03 -0.4484341      0.9223585       8982.000    
  4.9912883E-03 -0.4484341      0.9276416       9105.000    
  4.9912883E-03 -0.4484341      0.9348584       9105.000    
  4.9912883E-03 -0.4484341      0.9401416       9228.000    
  4.9912883E-03 -0.4484341      0.9473584       9228.000    
  4.9912883E-03 -0.4484341      0.9526415       9351.000    
  4.9912883E-03 -0.4484341      0.9598584       9351.000    
  4.9912883E-03 -0.4484341      0.9651415       9474.000    
  4.9912883E-03 -0.4484341      0.9723585       9474.000    
  4.9912883E-03 -0.4484341      0.9776416       9597.000    
  4.9912883E-03 -0.4484341      0.9848585       9597.000    
  4.9912883E-03 -0.4484341      0.9901416       9720.000    
  4.9912883E-03 -0.4484341      0.9973584       9720.000    
  4.9912883E-03 -0.4484341       1.002642       9843.000    
  4.9912883E-03 -0.4484341       1.009858       9843.000    
  4.9912883E-03 -0.4484341       1.015142       9966.000    
  4.9912883E-03 -0.4484341       1.022358       9966.000    
  4.9912883E-03 -0.4484341       1.027642       10089.00    
  4.9912883E-03 -0.4484341       1.034858       10089.00    
  4.9912883E-03 -0.4484341       1.040142       10212.00    
  4.9912883E-03 -0.4484341       1.047358       10212.00    
  4.9912883E-03 -0.4484341       1.052642       10335.00    
  4.9912883E-03 -0.4484341       1.059858       10335.00    
  4.9912883E-03 -0.4484341       1.065142       10458.00    
  4.9912883E-03 -0.4484341       1.072358       10458.00    
